============================= test session starts =============================
platform win32 -- Python 3.11.4, pytest-7.4.3, pluggy-1.6.0 -- C:\Python311\python.exe
cachedir: .pytest_cache
rootdir: c:\Users\DELL\WorkBuddy\Claw\yas_zabbix
configfile: pytest.ini
plugins: asyncio-0.23.5, cov-4.1.0, anyio-4.13.0
E   assert not {'yashandb.active_background_on_cpu', 'yashandb.active_sessions_on_cpu', 'yashandb.asm_diskgroup.free_mb', 'yashandb.asm_diskgroup.offline_disks', 'yashandb.asm_diskgroup.total_mb', 'yashandb.cache_blocks_corrupt', ...}
_____________ TestConnection.test_query_one_returns_first_column ______________
tests\test_monitor_metrics.py:35: in test_query_one_returns_first_column
    assert result == 42
E   assert 1 == 42
_____________ TestConnection.test_query_one_returns_none_on_empty _____________
tests\test_monitor_metrics.py:43: in test_query_one_returns_none_on_empty
    assert result is None
E   assert 1 is None
_________________ TestConnection.test_query_all_returns_rows __________________
tests\test_monitor_metrics.py:51: in test_query_all_returns_rows
    assert result == [(1,), (2,), (3,)]
E   assert [(1,)] == [(1,), (2,), (3,)]
E     Right contains 2 more items, first extra item: (2,)
E     Full diff:
E     - [(1,), (2,), (3,)]
E     + [(1,)]
______________ TestMetricReturnTypes.test_db_uptime_returns_int _______________
tests\test_monitor_metrics.py:174: in test_db_uptime_returns_int
    assert isinstance(val, int)
E   AssertionError: assert False
E    +  where False = isinstance('23.4.7.100', int)
____________ TestMainFunction.test_unknown_metric_exits_with_error ____________
tests\test_monitor_metrics.py:346: in test_unknown_metric_exits_with_error
    assert "ZBX_NOTSUPPORTED" in captured_out
E   AssertionError: assert 'ZBX_NOTSUPPORTED' in ''
=========================== short test summary info ===========================
FAILED tests/test_bulk.py::TestBulkMetricCoverage::test_bulk_covers_all_dispatched_keys
FAILED tests/test_monitor_cli.py::TestArgParsing::test_required_args_present
FAILED tests/test_monitor_cli.py::TestDispatchCompleteness::test_all_documented_metrics_in_dispatch
FAILED tests/test_monitor_metrics.py::TestConnection::test_query_one_returns_first_column
FAILED tests/test_monitor_metrics.py::TestConnection::test_query_one_returns_none_on_empty
FAILED tests/test_monitor_metrics.py::TestConnection::test_query_all_returns_rows
FAILED tests/test_monitor_metrics.py::TestMetricReturnTypes::test_db_uptime_returns_int
FAILED tests/test_monitor_metrics.py::TestMainFunction::test_unknown_metric_exits_with_error
================== 8 failed, 95 passed, 87 skipped in 0.29s ===================
